vegType,  1,  2,  3,  4,  5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
SLA,  80,   80,   80,   80,   80,   60,   60,   60,   50,   60,   80,   80,   60,   80,   0,   0,   0,   80,   80,   80
FRAGR, 0.10,  0.20,  0.10,  0.20,  0.10,  0.20,  0.20,  0.20,  0.20,  0.20,  0.1,  0.20,  0.00,  0.20,  0.00,  0.10,  0.00,  0.10,  0.10,  0.10
TMIN,  265,  273,  268,  273,  268,  273,  273,  273,  273,  273,  268,  273,   0,  273,   0,   0,   0,  268,  268,  268
VCMX25, 50.0,  60.0,  60.0,  60.0,  55.0,  40.0,  40.0,  40.0,  40.0,  40.0,  50.0,  80.0,  0.00,  60.0,  0.00,  0.00,  0.00,  50.0,  50.0,  50.0
TDLEF,  278,  278,  268,  278,  268,  278,  278,  278,  278,  278,  268,  278,  278,  278,   0,   0,   0,  268,  268,  268
BP, 2.E3,  2.E3,  2.E3,  2.E3,  2.E3,  2.E3,  2.E3,  2.E3,  2.E3,  2.E3,  2.E3,  2.E3, 1.E15,  2.E3, 1.E15,  2.E3, 1.E15,  2.E3,  2.E3,  2.E3
MP,  6.,   9.,   6.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.
QE25, 0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.00,  0.06,  0.00,  0.06,  0.00,  0.06,  0.06,  0.06
RMS25, 0.90,  0.30,  0.64,  0.10,  0.80,  0.10,  0.10,  0.10,  0.32,  0.10,  0.10,  0.10,  0.00,  0.10,  0.00,  0.00,  0.00,  0.10,  0.10,  0.00
RMR25, 0.36,  0.05,  0.05,  0.01,  0.03,  0.00,  0.00,  0.00,  0.01,  1.20,  0.0,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  2.11,  2.11,  0.00
ARM,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0
FOLNMX,  1.5,  1.5,  1.5,  1.5,  1.5,  1.5,  1.5,  1.5,  1.5,  1.5,  1.5,  1.5,  0.00,  1.5,  0.00,  1.5,  0.00,  1.5,  1.5,  1.5
WDPOOL, 1.00,  1.00,  1.00,  1.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.5,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.00,  1.00,  0.00
WRRAT, 30.0,  30.0,  30.0,  30.0,  30.0,  3.00,  3.00,  3.00,  3.00,  0.00,  15.0,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  3.00,  3.00,  0.00
MRP, 0.37,  0.23,  0.37,  0.40,  0.30,  0.19,  0.19,  0.19,  0.40,  0.17, 0.285,  0.23,  0.00,  0.23,  0.00,  0.00,  0.00,  0.23,  0.20,  0.00
SLAREA, 0.0090, 0.0200, 0.0200, 0.0258, 0.0223, 0.0227, 0.0188, 0.0227, 0.0236, 0.0060, 0.0295, 0.0200, 0.0228, 0.0223,  0.02,  0.02, 0.0422,  0.02,  0.02,  0.02
